Id,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAverage
M73000004-26155682,4,2,Single Family,1050,968,4,0,0,2,0,Hornepayne,219900.0,205950.0,A
M73000004-26155694,2,2,Condo,1013,132979,10,0,0,40,52,Milton,659990.0,865171.0,B
M73000004-26155699,5,3,Rental,2080,143740,2,0,1,12,9,Guelph,5000.0,640614.0,B
M73000004-26155718,1,1,Rental,668,11059,6,0,0,107,31,Hamilton,2339.0,543702.0,B
M73000004-26155719,2,1,Rental,614,11059,5,0,0,65,19,Hamilton,3100.0,543702.0,B
M73000004-26155720,2,1,Rental,778,11059,5,0,0,65,19,Hamilton,3200.0,543702.0,B
M73000004-26155723,2,1,Rental,1071,11059,5,0,0,65,19,Hamilton,3550.0,543702.0,B
M73000004-26155730,2,2,Condo,1554,28883,3,0,0,10,16,Grimsby,701650.0,754703.0,B
M73000004-26155764,1,1,Condo,608,717961,9,0,0,71,39,Mississauga,542636.0,695793.0,B
M73000004-26155769,2,2,Condo,1186,138479,3,0,0,31,18,Cambridge,559900.0,601135.0,B
M73000004-26155770,3,2,Single Family,1320,55750,5,1,0,47,25,Welland,569000.0,479693.0,A
M73000004-26155782,5,2,Single Family,960,9634,0,0,0,2,21,Temiskaming Shores,296857.0,440379.0,B
M73000004-26155864,3,3,Single Family,1589,24862,0,0,0,0,0,Wasaga Beach,769900.0,619205.0,A
M73000004-26156157,4,2,Single Family,1062,94415,4,0,0,18,11,Niagara Falls,699900.0,593623.0,A
M73000004-26156158,4,2,Single Family,1050,94415,8,0,0,13,19,Niagara Falls,779900.0,593623.0,A
M73000004-26156159,4,2,Single Family,1536,104688,8,1,0,33,16,Brantford,525000.0,615780.0,B
M73000004-26156167,5,4,Single Family,2145,138479,10,0,0,64,37,Cambridge,1249900.0,601135.0,A
M73000004-26156168,5,4,Single Family,2145,138479,10,0,0,67,37,Cambridge,1249900.0,601135.0,A
M73000004-26156241,6,7,Single Family,5139,717961,58,1,0,109,114,Mississauga,4199850.0,695793.0,A
M73000004-26156327,2,1,Condo,980,136803,9,0,1,63,31,St. Catharines,353233.0,648367.0,B
M73000004-26156451,4,3,Single Family,2599,94415,0,0,0,0,0,Niagara Falls,949900.0,593623.0,A
M73000004-26156483,3,2,Single Family,1350,94415,8,0,0,16,13,Niagara Falls,779000.0,593623.0,A
M73000004-26156505,4,4,Single Family,2737,717961,4,0,0,21,31,Mississauga,1850000.0,695793.0,A
M73000004-26156506,3,3,Single Family,1615,104688,22,1,0,15,34,Brantford,695957.0,615780.0,A
M73000004-26156569,4,3,Single Family,2225,422324,0,0,0,0,0,London,899900.0,691690.0,A
M73000004-26156632,1,1,Condo,520,213759,5,0,0,39,56,Oakville,529900.0,953919.0,B
M73000004-26156637,5,2,Single Family,1225,186948,0,0,0,0,0,Burlington,1649999.0,1085058.0,A
M73000004-26156875,3,3,Single Family,1544,422324,0,0,0,0,0,London,845900.0,691690.0,A
M73000004-26156876,2,2,Single Family,1300,422324,0,0,0,0,0,London,824900.0,691690.0,A
M73000004-26156890,3,3,Single Family,1619,422324,0,0,0,0,0,London,859900.0,691690.0,A
M73000004-26156897,6,2,Multi-Family,1591,256885,2,0,0,33,22,Kitchener,729900.0,437374.0,A
M73000004-26156898,6,2,Single Family,1591,256885,2,0,0,33,22,Kitchener,729900.0,437374.0,A
M73000004-26157028,1,1,Condo,520,6879,4,1,0,13,19,Parry Sound,316457.0,634281.0,B
M73000004-26157029,3,3,Condo/Townhome,1712,94415,24,1,0,111,90,Niagara Falls,679900.0,593623.0,A
M73000004-26157063,5,3,Single Family,1355,143740,2,0,1,12,11,Guelph,1100000.0,640614.0,A
M73000004-26157068,3,2,Single Family,1071,11059,9,1,1,32,13,Hamilton,788880.0,543702.0,A
M73000004-26157069,3,3,Single Family,1750,94415,26,0,0,54,79,Niagara Falls,754344.0,593623.0,A
M73000004-26157280,3,3,Single Family,1530,94415,8,0,0,28,46,Niagara Falls,1199000.0,593623.0,A
M73000004-26157286,3,3,Single Family,1759,422324,0,0,0,0,0,London,874900.0,691690.0,A
M73000004-26157370,5,0,Multi-Family,1703,104688,12,0,0,32,20,Brantford,664800.0,615780.0,A
M73000004-26157374,2,2,Rental,1165,143740,4,0,0,26,19,Guelph,3405.0,640614.0,B
M73000004-26157394,5,2,Single Family,1703,104688,12,0,0,32,20,Brantford,664800.0,615780.0,A
M73000004-26157396,4,5,Single Family,3000,132979,10,0,0,17,54,Milton,1750000.0,865171.0,A
M73000004-26157558,3,1,Single Family,837,136803,12,0,1,60,35,St. Catharines,514900.0,648367.0,B
M73000004-26157563,3,2,Single Family,1351,256885,23,0,0,65,67,Kitchener,649900.0,437374.0,A
M73000004-26157592,3,3,Single Family,1890,422324,5,0,0,8,27,London,949900.0,691690.0,A
M73000004-26157613,5,3,Single Family,2032,717961,47,0,0,173,90,Mississauga,1538362.0,695793.0,A
M73000004-26157637,6,3,Single Family,1815,11059,2,0,0,16,9,Hamilton,499999.0,543702.0,B
M73000004-26157638,2,2,Rental,620,94415,3,1,0,100,67,Niagara Falls,1900.0,593623.0,B
M73000004-26157709,2,1,Condo,875,422324,7,0,0,61,24,London,345456.0,691690.0,B
M73000004-26157714,2,2,Rental,821,94415,3,1,0,100,67,Niagara Falls,2000.0,593623.0,B
M73000004-26157716,3,2,Single Family,1095,11059,15,1,0,96,24,Hamilton,779000.0,543702.0,A
M73000004-26157726,3,4,Single Family,2146,121436,6,0,0,8,24,Waterloo,1799900.0,527104.0,A
M73000004-26157739,4,2,Single Family,1512,121436,15,1,2,31,49,Waterloo,886567.0,527104.0,A
M73000004-26157742,3,2,Single Family,1143,30167,5,1,0,28,13,Orangeville,754308.0,680676.0,A
M73000004-26157745,3,2,Single Family,957,422324,9,0,0,105,42,London,529900.0,691690.0,B
M73000004-26157757,2,3,Rental,1112,94415,14,0,0,22,14,Niagara Falls,2300.0,593623.0,B
M73000004-26157779,3,3,Single Family,2553,422324,22,0,0,66,54,London,1166249.0,691690.0,A
M73000004-26157798,4,2,Single Family,1430,11059,8,0,0,48,19,Hamilton,659000.0,543702.0,A
M73000004-26157803,4,2,Single Family,919,422324,3,0,0,10,6,London,475000.0,691690.0,B
M73000004-26157818,2,1,Rental,1000,94415,7,0,0,16,15,Niagara Falls,2000.0,593623.0,B
M73000004-26157827,3,1,Single Family,1145,132485,6,0,1,61,28,Kingston,494606.0,713186.0,B
M73000004-26157845,1,2,Condo,1070,24811,7,1,0,37,29,Collingwood,619000.0,616427.0,A
M73000004-26157850,5,3,Single Family,2347,121436,1,1,1,110,21,Waterloo,799583.0,527104.0,A
M73000004-26157866,1,1,Condo,650,143740,0,0,0,0,0,Guelph,429000.0,640614.0,B
M73000004-26157868,7,6,Single Family,4392,33232,2,0,0,32,41,Stratford,1799900.0,766153.0,A
M73000004-26157874,3,3,Single Family,1560,147829,4,0,0,5,10,Barrie,684900.0,584311.0,A
M73000004-26157878,3,3,Single Family,1982,20033,6,0,0,6,26,Port Colborne,1199000.0,658762.0,A
M73000004-26157881,2,1,Single Family,500,24862,1,0,0,0,12,Wasaga Beach,545000.0,619205.0,B
M73000004-26157882,4,3,Condo,1946,24811,0,0,0,0,0,Collingwood,859783.0,616427.0,A
M73000004-26157883,3,2,Condo,1369,24811,2,0,0,23,30,Collingwood,11000.0,616427.0,B
M73000004-26157886,3,2,Single Family,1056,24862,1,0,0,0,18,Wasaga Beach,649000.0,619205.0,A
M73000004-26157888,4,2,Single Family,963,136803,0,0,0,0,0,St. Catharines,699900.0,648367.0,A
M73000004-26157897,2,2,Condo,1162,422324,5,0,1,65,31,London,349900.0,691690.0,B
M73000004-26157926,4,4,Single Family,2173,104688,11,1,0,26,24,Brantford,949900.0,615780.0,A
M73000004-26157927,4,3,Single Family,1761,47845,6,0,0,29,28,Cornwall,499900.0,457499.0,A
M73000004-26157928,6,2,Single Family,1536,47845,0,0,0,0,0,Cornwall,674900.0,457499.0,A
